,county,sub-county,Age,Male,Female,Total
32849,NAIROBI,STAREHE,12,1658,1682,3340
32850,NAIROBI,STAREHE,13,1611,1644,3255
32851,NAIROBI,STAREHE,14,1535,1524,3059
32852,NAIROBI,STAREHE,10 -14,8002,8099,16101
32853,NAIROBI,STAREHE,15,1412,1615,3027
32854,NAIROBI,STAREHE,16,1517,1612,3129
32855,NAIROBI,STAREHE,17,1703,1753,3456
32856,NAIROBI,STAREHE,18,1668,1870,3538
32857,NAIROBI,STAREHE,19,2232,2638,4870
32858,NAIROBI,STAREHE,15-19,8532,9488,18020
32859,NAIROBI,STAREHE,20,2724,3072,5796
32860,NAIROBI,STAREHE,21,3084,3303,6387
32861,NAIROBI,STAREHE,22,3340,3557,6897
32862,NAIROBI,STAREHE,23,3681,3655,7336
32863,NAIROBI,STAREHE,24,3613,3239,6852
32864,NAIROBI,STAREHE,20-24,16442,16826,33268
32865,NAIROBI,STAREHE,25,3670,3314,6984
32866,NAIROBI,STAREHE,26,2952,2779,5731
32867,NAIROBI,STAREHE,27,2960,2668,5628
32868,NAIROBI,STAREHE,28,2534,2453,4987
32869,NAIROBI,STAREHE,29,2582,2270,4852
32870,NAIROBI,STAREHE,25-29,14698,13484,28182
32871,NAIROBI,STAREHE,30,3130,2895,6025
32872,NAIROBI,STAREHE,31,2098,1907,4005
32873,NAIROBI,STAREHE,32,2605,2430,5035
32874,NAIROBI,STAREHE,33,1956,1893,3849
32875,NAIROBI,STAREHE,34,1962,1776,3738
32876,NAIROBI,STAREHE,30-34,11751,10901,22652
32877,NAIROBI,STAREHE,35,2378,2009,4387
32878,NAIROBI,STAREHE,36,1740,1530,3270
32879,NAIROBI,STAREHE,37,1643,1400,3043
32880,NAIROBI,STAREHE,38,1508,1281,2789
32881,NAIROBI,STAREHE,39,1517,1223,2740
32882,NAIROBI,STAREHE,35-39,8786,7443,16229
32883,NAIROBI,STAREHE,40,1913,1376,3289
32884,NAIROBI,STAREHE,41,1480,1086,2566
32885,NAIROBI,STAREHE,42,1469,1094,2563
32886,NAIROBI,STAREHE,43,1157,936,2093
32887,NAIROBI,STAREHE,44,953,793,1746
32888,NAIROBI,STAREHE,40-44,6972,5285,12257
32889,NAIROBI,STAREHE,45,1560,1056,2616
32890,NAIROBI,STAREHE,46,983,745,1728
32891,NAIROBI,STAREHE,47,1000,683,1683
32892,NAIROBI,STAREHE,48,865,570,1435
32893,NAIROBI,STAREHE,49,907,609,1516
32894,NAIROBI,STAREHE,45-49,5315,3663,8978
32895,NAIROBI,STAREHE,50,1044,786,1830
32896,NAIROBI,STAREHE,51,739,485,1224
32897,NAIROBI,STAREHE,52,726,497,1223
32898,NAIROBI,STAREHE,53,549,419,968
32899,NAIROBI,STAREHE,54,677,423,1100
32900,NAIROBI,STAREHE,50-54,3735,2610,6345
32901,NAIROBI,STAREHE,55,612,418,1030
32902,NAIROBI,STAREHE,56,594,421,1015
32903,NAIROBI,STAREHE,57,536,405,941
32904,NAIROBI,STAREHE,58,446,300,746
32905,NAIROBI,STAREHE,59,498,322,820
32906,NAIROBI,STAREHE,55-59,2686,1866,4552
32907,NAIROBI,STAREHE,60,497,399,896
32908,NAIROBI,STAREHE,61,310,209,519
32909,NAIROBI,STAREHE,62,291,208,499
32910,NAIROBI,STAREHE,63,230,187,417
32911,NAIROBI,STAREHE,64,194,171,365
32912,NAIROBI,STAREHE,60-64,1522,1174,2696
32913,NAIROBI,STAREHE,65,287,185,472
32914,NAIROBI,STAREHE,66,154,134,288
32915,NAIROBI,STAREHE,67,223,150,373
32916,NAIROBI,STAREHE,68,135,105,240
32917,NAIROBI,STAREHE,69,139,172,311
32918,NAIROBI,STAREHE,65-69,938,746,1684
32919,NAIROBI,STAREHE,70,161,194,355
32920,NAIROBI,STAREHE,71,98,90,188
32921,NAIROBI,STAREHE,72,98,76,174
32922,NAIROBI,STAREHE,73,81,70,151
32923,NAIROBI,STAREHE,74,74,80,154
32924,NAIROBI,STAREHE,70-74,512,510,1022
32925,NAIROBI,STAREHE,75,59,74,133
32926,NAIROBI,STAREHE,76,61,56,117
32927,NAIROBI,STAREHE,77,48,56,104
32928,NAIROBI,STAREHE,78,27,28,55
32929,NAIROBI,STAREHE,79,33,47,80
32930,NAIROBI,STAREHE,75-79,228,261,489
32931,NAIROBI,STAREHE,80,48,57,105
32932,NAIROBI,STAREHE,81,22,21,43
32933,NAIROBI,STAREHE,82,21,20,41
32934,NAIROBI,STAREHE,83,19,23,42
32935,NAIROBI,STAREHE,84,14,17,31
32936,NAIROBI,STAREHE,80-84,124,138,262
32937,NAIROBI,STAREHE,85,15,20,35
32938,NAIROBI,STAREHE,86,9,11,20
32939,NAIROBI,STAREHE,87,12,18,30
32940,NAIROBI,STAREHE,88,6,10,16
32941,NAIROBI,STAREHE,89,3,8,11
32942,NAIROBI,STAREHE,85-89,45,67,112
32943,NAIROBI,STAREHE,90,7,17,24
32944,NAIROBI,STAREHE,91,2,3,5
32945,NAIROBI,STAREHE,92,1,3,4
32946,NAIROBI,STAREHE,93,1,6,7
32947,NAIROBI,STAREHE,94,-,3,3
32948,NAIROBI,STAREHE,90-94,11,32,43
32949,NAIROBI,STAREHE,95,3,7,10
32950,NAIROBI,STAREHE,96,1,2,3
32951,NAIROBI,STAREHE,97,2,2,4
32952,NAIROBI,STAREHE,98,-,1,1
32953,NAIROBI,STAREHE,99,-,1,1
32954,NAIROBI,STAREHE,95-99,6,13,19
32955,NAIROBI,STAREHE,100+,4,6,10
